Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Yellow,Square,Large,A,A,B,C,C,D,2,1,lika,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,2,faqi,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,3,xugo,100,100,0
Yellow,Square,Large,B,B,B,D,D,D,2,4,suva,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,5,biyo,100,100,1
Purple,Square,Short,B,A,A,D,C,C,2,6,jagi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,7,quqe,100,100,3
Yellow,Square,Large,B,B,B,D,D,D,2,8,davo,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,9,haco,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,10,cege,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,11,tiri,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,12,ruvi,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,13,weqa,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,14,zico,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,15,zuje,100,100,3
Yellow,Octagon,Short,B,B,B,D,D,D,1,16,qila,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,17,nezo,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,18,rugo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,19,vapo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,20,qije,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,21,lejo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,22,mepu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,23,kixu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,24,capi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,25,yunu,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,26,wuqi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,27,caya,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,28,gubo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,29,vawi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,30,coju,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,31,taku,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,32,vawo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,33,heme,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,34,kebi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,35,gika,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,36,gohu,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,37,nefi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,38,bisu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,39,zeko,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,40,sedu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,41,dese,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,42,yoji,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,43,ruge,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,44,hoki,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,45,lobu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,46,geka,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,47,vola,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,48,xevu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,49,moxo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,50,noqu,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,51,nepa,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,52,cofu,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,53,fodi,100,100,0
Yellow,Square,Large,B,B,B,D,D,D,2,54,risa,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,55,tari,100,100,1
Purple,Square,Short,B,A,A,D,C,C,2,56,buko,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,57,jeku,100,100,3
Yellow,Square,Large,B,B,B,D,D,D,2,58,kumu,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,59,daco,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,60,bawu,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,61,kenu,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,62,koba,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,63,maca,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,64,jozi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,65,qege,100,100,3
Yellow,Octagon,Short,B,B,B,D,D,D,1,66,gije,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,67,heso,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,68,joxe,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,69,fucu,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,70,lawi,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,71,mihe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,72,vofu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,73,webo,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,74,tesi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,75,tica,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,76,cuca,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,77,kazi,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,78,cena,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,79,caji,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,80,mali,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,81,huri,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,82,fija,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,83,jamo,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,84,neno,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,85,doji,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,86,fude,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,87,puso,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,88,yoyu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,89,runi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,90,quvi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,91,buqi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,92,dobi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,93,wote,100,100,3
