Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Yellow,Square,Large,A,A,B,C,C,D,2,1,cedo,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,2,kiyu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,3,kadi,100,100,2
Yellow,Square,Large,B,B,B,D,D,D,2,4,ziso,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,5,naro,100,100,1
Yellow,Square,Large,B,A,A,D,C,C,2,6,mino,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,7,vama,100,100,3
Purple,Octagon,Large,B,B,B,D,D,D,3,8,tezi,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,9,xaqe,100,100,1
Yellow,Octagon,Short,B,A,A,D,C,C,1,10,xasu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,11,mulo,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,12,celi,100,100,2
Yellow,Square,Large,A,A,B,C,C,D,2,13,bufi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,kihu,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,15,gayi,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,16,muhi,100,100,2
Purple,Octagon,Large,A,A,B,C,C,D,3,17,xabi,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,18,qesi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,ciki,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,20,yoyi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,21,cuco,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,22,mewi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,23,gapa,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,24,qucu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,25,ruza,100,100,1
Yellow,Octagon,Short,A,B,A,C,D,C,1,26,sagu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,27,keto,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,28,muzi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,29,cica,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,30,qeta,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,31,yifo,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,32,lenu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,33,goha,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,34,fobu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,35,quje,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,36,tago,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,37,cuhu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,38,yudi,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,39,huzo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,40,vuze,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,41,jugo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,42,kiba,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,43,sefe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,44,rezu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,45,weqe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,46,zimo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,47,qore,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,48,kade,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,49,nuga,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,50,fime,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,51,libu,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,52,yudo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,53,tozu,100,100,2
Yellow,Square,Large,B,B,B,D,D,D,2,54,geba,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,55,vusi,100,100,1
Yellow,Square,Large,B,A,A,D,C,C,2,56,luwo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,57,sivu,100,100,3
Purple,Octagon,Large,B,B,B,D,D,D,3,58,hoya,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,59,kuvo,100,100,1
Yellow,Octagon,Short,B,A,A,D,C,C,1,60,gate,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,61,sapa,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,62,tuku,100,100,2
Yellow,Square,Large,A,A,B,C,C,D,2,63,bupi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,64,qiqu,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,65,ginu,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,66,cutu,100,100,2
Purple,Octagon,Large,A,A,B,C,C,D,3,67,jope,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,68,reyu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,69,jupi,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,70,poho,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,71,lefi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,72,xesa,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,73,poko,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,74,capo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,75,vuci,100,100,1
Yellow,Octagon,Short,A,B,A,C,D,C,1,76,deri,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,77,kuwa,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,78,gaqu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,79,resi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,80,bico,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,81,hiyo,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,82,gilo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,83,weba,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,84,tuvo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,85,gure,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,86,naja,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,87,riyi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,88,guta,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,89,jexo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,90,kedu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,91,biru,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,92,hefu,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,93,xese,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,94,niha,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,95,tiyu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,96,maco,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,97,roda,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,98,fece,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,99,deyu,100,100,0
