Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Purple,Octagon,Large,A,A,B,C,C,D,3,1,miwe,100,100,3
Purple,Octagon,Large,B,A,A,D,C,C,3,2,rula,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,3,kigu,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,4,copa,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,5,yoli,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,6,wiyo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,7,boti,100,100,2
Purple,Square,Short,B,B,B,D,D,D,2,8,bofe,100,100,1
Purple,Octagon,Large,A,A,B,C,C,D,3,9,judu,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,10,vudi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,11,gono,100,100,2
Purple,Square,Short,B,B,B,D,D,D,2,12,jida,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,13,vime,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,yedu,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,15,zuwu,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,16,qefi,100,100,3
Purple,Square,Short,A,A,B,C,C,D,2,17,tite,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,18,yane,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,gaho,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,20,sulo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,21,qume,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,22,howi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,23,jeda,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,24,buzo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,25,cixe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,26,mavu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,27,lehi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,28,peno,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,29,qemo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,30,nene,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,31,buce,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,32,qewi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,33,tufo,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,34,wozu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,35,xubi,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,36,bize,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,37,fiwa,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,38,mixe,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,39,levu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,40,tami,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,41,xaki,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,42,mita,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,43,seco,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,44,qeri,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,45,yaki,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,46,bawe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,47,waru,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,48,nema,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,49,jima,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,50,giti,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,51,kosi,100,100,3
Purple,Octagon,Large,B,A,A,D,C,C,3,52,yibe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,53,qone,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,54,pinu,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,55,vero,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,56,wufa,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,57,vuho,100,100,2
Purple,Square,Short,B,B,B,D,D,D,2,58,kowu,100,100,1
Purple,Octagon,Large,A,A,B,C,C,D,3,59,niri,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,60,sewo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,61,xagu,100,100,2
Purple,Square,Short,B,B,B,D,D,D,2,62,feso,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,63,mota,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,64,buja,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,65,fuya,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,66,veva,100,100,3
Purple,Square,Short,A,A,B,C,C,D,2,67,fulo,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,68,hosa,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,69,goli,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,70,wihe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,71,daqa,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,72,wota,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,73,cana,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,74,gege,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,75,ruxi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,76,zozo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,77,vowi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,78,wuvu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,79,fapa,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,80,pobi,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,81,fizo,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,82,lumi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,83,guha,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,84,sewe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,85,zeke,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,86,suxi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,87,foyu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,88,lexi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,89,puxi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,90,rita,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,91,razi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,92,saxe,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,93,sovi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,94,pezu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,95,vobo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,96,mata,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,97,momi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,98,boxe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,99,bequ,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,100,qifi,100,100,0
