Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Purple,Octagon,Large,A,A,B,C,C,D,3,1,xaru,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,2,bule,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,3,veyo,100,100,1
Purple,Octagon,Large,B,B,B,D,D,D,3,4,yefi,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,5,dilu,100,100,2
Yellow,Octagon,Short,B,A,A,D,C,C,1,6,qato,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,7,haqu,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,8,micu,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,9,cike,100,100,3
Yellow,Square,Large,B,A,A,D,C,C,2,10,nube,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,11,woke,100,100,1
Yellow,Octagon,Short,B,B,B,D,D,D,1,12,loju,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,13,tuzu,100,100,3
Purple,Square,Short,B,A,A,D,C,C,2,14,noba,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,15,moza,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,16,guca,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,17,jiru,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,18,zihe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,weri,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,20,doko,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,21,liqu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,22,yela,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,23,yivo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,24,jelo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,25,noqe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,26,toze,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,27,nowo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,28,lofe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,29,pawo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,30,paxu,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,31,sufo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,32,bivi,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,33,jawu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,34,fosi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,35,qene,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,36,zeki,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,37,qufe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,38,pafu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,39,wano,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,40,nuce,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,41,qizu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,42,feza,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,43,zuzu,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,44,vipe,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,45,secu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,46,guvi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,47,caro,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,48,dala,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,49,xixo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,50,piho,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,51,naxo,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,52,poqo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,53,goce,100,100,1
Purple,Octagon,Large,B,B,B,D,D,D,3,54,caci,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,55,fuzi,100,100,2
Yellow,Octagon,Short,B,A,A,D,C,C,1,56,puro,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,57,tiwe,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,58,kuce,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,59,nahe,100,100,3
Yellow,Square,Large,B,A,A,D,C,C,2,60,zito,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,61,hama,100,100,1
Yellow,Octagon,Short,B,B,B,D,D,D,1,62,zija,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,63,lori,100,100,3
Purple,Square,Short,B,A,A,D,C,C,2,64,vuzi,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,65,qivo,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,66,bube,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,67,dimu,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,68,tiwa,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,69,wocu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,70,wuda,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,71,zadu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,72,sibu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,73,yejo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,74,sibo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,75,zoqo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,76,ledi,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,77,jisu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,78,lafi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,79,ripa,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,80,xori,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,81,gila,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,82,runa,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,83,mofo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,84,mowe,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,85,vixa,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,86,dasu,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,87,nuhu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,88,fopa,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,89,vuke,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,90,kilo,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,91,dawe,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,92,cepu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,93,gake,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,94,pafi,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,95,yive,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,96,juyi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,97,pexe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,98,dito,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,99,soco,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,100,gane,100,100,0
