Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Purple,Octagon,Large,A,A,B,C,C,D,3,1,qima,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,2,pupe,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,3,xuvo,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,4,suyo,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,5,mave,100,100,1
Yellow,Square,Large,B,A,A,D,C,C,2,6,xuxa,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,7,kaze,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,8,wafa,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,9,dupo,100,100,2
Yellow,Octagon,Short,B,A,A,D,C,C,1,10,qaha,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,11,pexo,100,100,3
Purple,Octagon,Large,B,B,B,D,D,D,3,12,yuho,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,13,heda,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,belu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,15,vuki,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,16,tuje,100,100,2
Purple,Square,Short,A,A,B,C,C,D,2,17,juza,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,18,qowo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,bupa,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,20,siyu,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,21,yila,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,22,riqa,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,23,neru,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,24,cazi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,25,boto,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,26,geji,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,27,sifu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,28,leco,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,29,kuvi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,30,taha,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,31,veqi,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,32,xoci,100,100,3
Purple,Square,Short,A,B,A,C,D,C,2,33,joru,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,34,vuti,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,35,ruba,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,36,kumo,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,37,numu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,38,liyu,100,100,1
Yellow,Octagon,Short,A,B,A,C,D,C,1,39,dehi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,40,getu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,41,jeyi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,42,vuha,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,43,rowa,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,44,gagi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,45,cihi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,46,renu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,47,ziva,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,48,vapi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,49,mude,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,50,voso,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,51,nevu,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,52,komo,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,53,keze,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,54,cifo,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,55,pimo,100,100,1
Yellow,Square,Large,B,A,A,D,C,C,2,56,xubu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,57,faru,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,58,yawu,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,59,kova,100,100,2
Yellow,Octagon,Short,B,A,A,D,C,C,1,60,cufo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,61,poci,100,100,3
Purple,Octagon,Large,B,B,B,D,D,D,3,62,ruku,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,63,yemo,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,64,xeje,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,65,hoda,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,66,yoqa,100,100,2
Purple,Square,Short,A,A,B,C,C,D,2,67,seza,100,100,0
