Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Purple,Octagon,Large,A,A,B,C,C,D,3,1,mupo,100,100,3
Yellow,Square,Large,B,A,A,D,C,C,2,2,yatu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,3,teja,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,4,rela,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,5,dupu,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,6,sama,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,7,humi,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,8,jofi,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,9,dete,100,100,2
Purple,Octagon,Large,B,A,A,D,C,C,3,10,cene,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,11,numo,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,12,waqe,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,13,hoyi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,roke,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,15,heru,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,16,loku,100,100,3
Yellow,Octagon,Short,A,A,B,C,C,D,1,17,dafe,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,18,sihi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,bayi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,20,miwa,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,21,woza,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,22,zizu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,23,jevu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,24,qega,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,25,nete,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,26,zuyu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,27,qaji,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,28,pisu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,29,foco,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,30,resa,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,31,yota,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,32,sode,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,33,nola,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,34,xufe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,35,jasi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,36,cetu,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,37,dagi,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,38,tulo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,39,mebe,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,40,kexo,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,41,yeku,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,42,fefi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,43,hayi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,44,yeci,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,45,muwi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,46,teqa,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,47,zibu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,48,nuci,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,49,jata,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,50,wayo,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,51,nixi,100,100,3
Yellow,Square,Large,B,A,A,D,C,C,2,52,haya,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,53,zodi,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,54,rexo,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,55,nona,100,100,0
Purple,Square,Short,B,A,A,D,C,C,2,56,zazo,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,57,yapo,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,58,hife,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,59,tiyi,100,100,2
Purple,Octagon,Large,B,A,A,D,C,C,3,60,muwo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,61,hoju,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,62,raza,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,63,fuki,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,64,xudo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,65,yuve,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,66,zalo,100,100,3
Yellow,Octagon,Short,A,A,B,C,C,D,1,67,fide,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,68,qota,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,69,hutu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,70,nito,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,71,xifi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,72,cemi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,73,jaye,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,74,vado,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,75,biqo,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,76,jiye,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,77,qiqe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,78,safo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,79,tiya,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,80,yave,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,81,duka,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,82,nihu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,83,hifu,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,84,nuku,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,85,wutu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,86,selo,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,87,medu,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,88,xuwo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,89,cika,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,90,dopo,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,91,jota,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,92,mipu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,93,rupo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,94,leze,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,95,pige,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,96,tiha,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,97,yahe,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,98,viyi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,99,yexa,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,100,nemu,100,100,0
