Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Yellow,Octagon,Short,A,A,B,C,C,D,1,1,duwi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,2,buhu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,3,jayi,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,4,besu,100,100,3
Yellow,Octagon,Short,A,A,B,C,C,D,1,5,fole,100,100,1
Yellow,Octagon,Short,B,A,A,D,C,C,1,6,tada,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,7,pibo,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,8,gahi,100,100,2
Yellow,Octagon,Short,A,A,B,C,C,D,1,9,rusu,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,10,haxi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,11,gufo,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,12,hepo,100,100,2
Yellow,Square,Large,A,A,B,C,C,D,2,13,xizo,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,14,vosu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,15,dipi,100,100,1
Purple,Square,Short,B,B,B,D,D,D,2,16,qowa,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,17,reva,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,18,diqe,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,19,mugi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,20,qari,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,21,veda,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,22,baci,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,23,yaze,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,24,xipi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,25,toce,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,26,feto,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,27,cifu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,28,jano,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,29,soba,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,30,pemo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,31,hace,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,32,memu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,33,lipi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,34,huno,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,35,rolu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,36,lowi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,37,voto,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,38,kime,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,39,sevi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,40,tayo,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,41,vopu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,42,yuga,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,43,ligi,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,44,kasi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,45,hizo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,46,puda,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,47,coya,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,48,nupu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,49,guma,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,50,loso,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,51,qazi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,52,jasu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,53,xexu,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,54,beka,100,100,3
Yellow,Octagon,Short,A,A,B,C,C,D,1,55,pone,100,100,1
Yellow,Octagon,Short,B,A,A,D,C,C,1,56,soze,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,57,seka,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,58,nayu,100,100,2
Yellow,Octagon,Short,A,A,B,C,C,D,1,59,fubi,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,60,tubi,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,61,koga,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,62,hesu,100,100,2
Yellow,Square,Large,A,A,B,C,C,D,2,63,kewe,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,64,jeza,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,65,ziqo,100,100,1
Purple,Square,Short,B,B,B,D,D,D,2,66,tolo,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,67,mubi,100,100,0
Yellow,Square,Large,B,A,A,D,C,C,2,68,leqi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,69,pidu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,70,qiva,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,71,heti,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,72,xuzu,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,73,xeyo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,74,yewu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,75,roju,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,76,guzu,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,77,mera,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,78,heza,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,79,wenu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,80,xiho,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,81,nevo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,82,yoce,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,83,kene,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,84,punu,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,85,mibu,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,86,vute,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,87,mepe,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,88,qude,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,89,covi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,90,masi,100,100,1
Yellow,Square,Large,A,B,A,C,D,C,2,91,biwi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,92,mede,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,93,diwu,100,100,3
Purple,Octagon,Large,A,B,A,C,D,C,3,94,cehi,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,95,yiso,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,96,duye,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,97,nufi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,98,dilo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,99,losu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,100,sofe,100,100,0
